type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,nameOrig,nameDest,bankOrig,bankDest
PAYMENT,11647.08,30370.0,18722.92,0.0,0.0,C1264712553,M215391829,Access,GT
TRANSFER,1551760.63,0.0,0.0,3198359.45,4750120.08,C333676753,C1564353608,Access,GT
PAYMENT,915.13,0.0,0.0,0.0,0.0,C2002954533,M290849763,Access,GT
PAYMENT,4865.11,0.0,0.0,0.0,0.0,C886849972,M623175144,Access,GT
PAYMENT,48691.16,0.0,0.0,0.0,0.0,C1810046508,M487081598,Access,GT
PAYMENT,36598.65,8240.66,0.0,0.0,0.0,C1365498607,M969218364,Access,GT
TRANSFER,940927.27,8568.0,0.0,0.0,940927.27,C1346570604,C1178934515,Access,GT
DEBIT,151.58,10659.0,10507.42,50706.33,50857.9,C1576094043,C1308477441,Access,GT
PAYMENT,26565.95,0.0,0.0,0.0,0.0,C1512675672,M1330826048,Access,GT
TRANSFER,18801.43,126.0,0.0,0.0,18801.43,C920671013,C1418884586,Access,GT
PAYMENT,3516.08,0.0,0.0,0.0,0.0,C633099116,M2117267163,Access,GT
PAYMENT,6987.8,0.0,0.0,0.0,0.0,C220437223,M1751641542,Access,GT
PAYMENT,24649.07,0.0,0.0,0.0,0.0,C1353964860,M1059671726,Access,GT
TRANSFER,598680.17,45059.0,0.0,2559233.0,3157913.17,C544409289,C956338890,Access,GT
PAYMENT,5090.28,50617.0,45526.72,0.0,0.0,C1405934398,M839389189,Access,GT
PAYMENT,11605.7,0.0,0.0,0.0,0.0,C484951468,M1504624467,Access,GT
PAYMENT,5055.72,108809.83,103754.11,0.0,0.0,C315487150,M1717055694,Access,GT
PAYMENT,12020.77,639020.83,627000.06,0.0,0.0,C1235787929,M1043686153,Access,GT
PAYMENT,14241.21,109207.0,94965.79,0.0,0.0,C1653380908,M77882578,Access,GT
PAYMENT,23480.16,5309.0,0.0,0.0,0.0,C1099535493,M933507080,Access,GT
PAYMENT,14270.03,3309.0,0.0,0.0,0.0,C1496903190,M946866772,Access,GT
PAYMENT,6851.17,0.0,0.0,0.0,0.0,C1051106607,M1348761534,Access,GT
PAYMENT,1704.03,0.0,0.0,0.0,0.0,C74556831,M1951402325,Access,GT
PAYMENT,21061.24,0.0,0.0,0.0,0.0,C40966245,M1653653617,Access,GT
PAYMENT,8129.46,0.0,0.0,0.0,0.0,C40866646,M182944108,Access,GT
PAYMENT,6492.32,252978.2,246485.88,0.0,0.0,C1321671140,M533921438,Access,GT
TRANSFER,21362.19,0.0,0.0,102800.19,124162.37,C1977482177,C1554823726,Access,GT
PAYMENT,16871.75,374693.53,357821.78,0.0,0.0,C1345262134,M1183610480,Access,GT
PAYMENT,38509.2,0.0,0.0,0.0,0.0,C174212239,M1265795703,Access,GT
PAYMENT,7301.4,21426.0,14124.6,0.0,0.0,C239144018,M1684201690,Access,GT
PAYMENT,51907.16,48529.0,0.0,0.0,0.0,C1577059714,M1955312313,Access,GT
PAYMENT,343.06,0.0,0.0,0.0,0.0,C1370498771,M301320628,Access,GT
PAYMENT,7452.27,254793.0,247340.73,0.0,0.0,C1418729422,M1996394103,Access,GT
PAYMENT,25380.11,0.0,0.0,0.0,0.0,C1515172243,M849428673,Access,GT
TRANSFER,406390.63,0.0,0.0,596285.7,1002676.33,C449334349,C1477190619,Access,GT
PAYMENT,17210.24,468747.37,451537.13,0.0,0.0,C2035379457,M1250735899,Access,GT
PAYMENT,241.89,103317.6,103075.72,0.0,0.0,C1249789290,M870078784,Access,GT
PAYMENT,5883.37,0.0,0.0,0.0,0.0,C1938448095,M1022031461,Access,GT
PAYMENT,13055.28,0.0,0.0,0.0,0.0,C508385511,M956027336,Access,GT
PAYMENT,616.88,107243.5,106626.62,0.0,0.0,C1013341637,M1942028884,Access,GT
PAYMENT,4986.63,0.0,0.0,0.0,0.0,C1359889730,M1124177815,Access,GT
PAYMENT,17692.64,10268.0,0.0,0.0,0.0,C1270549119,M743266449,Access,GT
PAYMENT,7457.89,0.0,0.0,0.0,0.0,C2051931889,M2079068430,Access,GT
DEBIT,2262.52,49271.0,47008.48,124780.0,127042.52,C841098437,C1097907228,Access,GT
PAYMENT,9414.76,5839.9,0.0,0.0,0.0,C2023654274,M210283336,Access,GT
PAYMENT,17485.51,9339.0,0.0,0.0,0.0,C928494081,M981647331,Access,GT
PAYMENT,1408.77,99765.0,98356.23,0.0,0.0,C1359417325,M369555754,Access,GT
PAYMENT,11348.41,9611.61,0.0,0.0,0.0,C1602089084,M1756029493,Access,GT
PAYMENT,2249.75,49824.0,47574.25,0.0,0.0,C102483840,M926772394,Access,GT
PAYMENT,22006.91,187492.15,165485.24,0.0,0.0,C1477296233,M1819638608,Access,GT
PAYMENT,16964.15,21330.0,4365.85,0.0,0.0,C648700740,M157710685,Access,GT
TRANSFER,125132.6,292194.0,167061.4,0.0,125132.6,C1616958476,C2085899258,Access,GT
PAYMENT,7443.29,311.0,0.0,0.0,0.0,C1655583311,M976098062,Access,GT
PAYMENT,18520.37,37618.39,19098.02,0.0,0.0,C1346718641,M1530543057,Access,GT
PAYMENT,5000.93,0.0,0.0,0.0,0.0,C804921125,M1348049534,Access,GT
PAYMENT,1375.93,39672.19,38296.26,0.0,0.0,C805028279,M118328816,Access,GT
PAYMENT,9387.6,101296.39,91908.79,0.0,0.0,C1478451246,M1595492079,Access,GT
